[0.017s] Invoking command in '/home/azraa/ros2_ws/build/my_robot_bringup': AMENT_PREFIX_PATH=/home/azraa/ros2_ws/install/my_py_pkg:/home/azraa/ros2_ws/install/my_robot_bringup:/home/azraa/ros2_ws/install/my_cpp_pkg:/home/azraa/ros2_ws/install/my_robot_interfaces:/opt/ros/foxy CMAKE_PREFIX_PATH=/home/azraa/ros2_ws/install/my_cpp_pkg:/home/azraa/ros2_ws/install/my_robot_interfaces:/home/azraa/ros2_ws/install/my_robot_bringup:/home/azraa/ros2_ws/install/my_py_pkg:/opt/ros/foxy /usr/bin/cmake --build /home/azraa/ros2_ws/build/my_robot_bringup -- -j4 -l4
[0.063s] Invoked command in '/home/azraa/ros2_ws/build/my_robot_bringup' returned '0': AMENT_PREFIX_PATH=/home/azraa/ros2_ws/install/my_py_pkg:/home/azraa/ros2_ws/install/my_robot_bringup:/home/azraa/ros2_ws/install/my_cpp_pkg:/home/azraa/ros2_ws/install/my_robot_interfaces:/opt/ros/foxy CMAKE_PREFIX_PATH=/home/azraa/ros2_ws/install/my_cpp_pkg:/home/azraa/ros2_ws/install/my_robot_interfaces:/home/azraa/ros2_ws/install/my_robot_bringup:/home/azraa/ros2_ws/install/my_py_pkg:/opt/ros/foxy /usr/bin/cmake --build /home/azraa/ros2_ws/build/my_robot_bringup -- -j4 -l4
[0.096s] Invoking command in '/home/azraa/ros2_ws/build/my_robot_bringup': AMENT_PREFIX_PATH=/home/azraa/ros2_ws/install/my_py_pkg:/home/azraa/ros2_ws/install/my_robot_bringup:/home/azraa/ros2_ws/install/my_cpp_pkg:/home/azraa/ros2_ws/install/my_robot_interfaces:/opt/ros/foxy CMAKE_PREFIX_PATH=/home/azraa/ros2_ws/install/my_cpp_pkg:/home/azraa/ros2_ws/install/my_robot_interfaces:/home/azraa/ros2_ws/install/my_robot_bringup:/home/azraa/ros2_ws/install/my_py_pkg:/opt/ros/foxy /usr/bin/cmake --install /home/azraa/ros2_ws/build/my_robot_bringup
[0.113s] CMake Warning (dev) at ament_cmake_symlink_install/ament_cmake_symlink_install.cmake:62 (file):
[0.113s]   Policy CMP0009 is not set: FILE GLOB_RECURSE calls should not follow
[0.113s]   symlinks by default.  Run "cmake --help-policy CMP0009" for policy details.
[0.113s]   Use the cmake_policy command to set the policy and suppress this warning.
[0.113s] Call Stack (most recent call first):
[0.113s]   ament_cmake_symlink_install/ament_cmake_symlink_install.cmake:314 (ament_cmake_symlink_install_directory)
[0.113s]   cmake_install.cmake:41 (include)
[0.113s] This warning is for project developers.  Use -Wno-dev to suppress it.
[0.113s] 
[0.117s] -- Install configuration: ""
[0.117s] -- Execute custom install script
[0.118s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/launch/build/.built_by
[0.118s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/launch/build/COLCON_IGNORE
[0.118s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/launch/install/.colcon_install_layout
[0.118s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/launch/install/COLCON_IGNORE
[0.118s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/launch/install/_local_setup_util_ps1.py
[0.118s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/launch/install/_local_setup_util_sh.py
[0.118s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/launch/install/local_setup.bash
[0.118s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/launch/install/local_setup.ps1
[0.118s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/launch/install/local_setup.sh
[0.119s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/launch/install/local_setup.zsh
[0.119s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/launch/install/setup.bash
[0.119s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/launch/install/setup.ps1
[0.119s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/launch/install/setup.sh
[0.119s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/launch/install/setup.zsh
[0.119s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/launch/log/COLCON_IGNORE
[0.119s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/launch/log/build_2022-07-08_10-54-06/events.log
[0.119s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/launch/log/build_2022-07-08_10-54-06/logger_all.log
[0.120s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/launch/log/latest/events.log
